Time (s)   V_brick (kV)             E_brick (J)              E_ESR (J)                R_switch (½)             E_switch (J)             Radius_switch (m)        I_brick (kA)             Q_brick                  V_out (kV)               P_out (MW)               E_out (J)                
 0.00000E+00   1.00000E+02   1.40000E+03   0.00000E+00   1.00000E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.25500E-10   1.00000E+02   1.40000E+03   1.16681E-14   1.40238E+06   4.06493E-07   5.27967E-07   7.12489E-05   4.06750E-12   4.63118E-05   3.29966E-09   1.16681E-13
 2.51500E-10   1.00000E+02   1.40000E+03   1.83612E-13   4.53498E+05   2.14728E-06   9.28436E-07   2.20160E-04   2.14972E-11   1.43104E-04   3.15057E-08   1.83612E-12
 3.77500E-10   1.00000E+02   1.40000E+03   1.17471E-12   2.08827E+05   6.41975E-06   1.36819E-06   4.77646E-04   6.43123E-11   3.10470E-04   1.48295E-07   1.17471E-11
 5.03500E-10   1.00000E+02   1.40000E+03   4.87743E-12   1.14613E+05   1.47443E-05   1.84681E-06   8.69263E-04   1.47823E-10   5.65021E-04   4.91152E-07   4.87743E-11
 6.29500E-10   1.00000E+02   1.40000E+03   1.55892E-11   7.00682E+04   2.89506E-05   2.36200E-06   1.41994E-03   2.90519E-10   9.22959E-04   1.31054E-06   1.55892E-10
 7.55500E-10   1.00000E+02   1.40000E+03   4.17203E-11   4.61182E+04   5.11660E-05   2.91141E-06   2.15396E-03   5.13991E-10   1.40008E-03   3.01571E-06   4.17204E-10
 8.81500E-10   1.00000E+02   1.40000E+03   9.81165E-11   3.20399E+04   8.38037E-05   3.49297E-06   3.09498E-03   8.42850E-10   2.01174E-03   6.22628E-06   9.81165E-10
 1.00750E-09   1.00000E+02   1.40000E+03   2.09064E-10   2.32003E+04   1.29550E-04   4.10481E-06   4.26591E-03   1.30464E-09   2.77284E-03   1.18287E-05   2.09063E-09
 1.13350E-09   1.00000E+02   1.40000E+03   4.12029E-10   1.73602E+04   1.91348E-04   4.74529E-06   5.68893E-03   1.92974E-09   3.69780E-03   2.10366E-05   4.12028E-09
 1.25950E-09   1.00000E+02   1.40000E+03   7.62183E-10   1.33417E+04   2.72389E-04   5.41295E-06   7.38544E-03   2.75130E-09   4.80054E-03   3.54541E-05   7.62183E-09
 1.38550E-09   1.00000E+02   1.40000E+03   1.33774E-09   1.04833E+04   3.76089E-04   6.10648E-06   9.37602E-03   3.80507E-09   6.09441E-03   5.71413E-05   1.33774E-08
 1.51150E-09   1.00000E+02   1.40000E+03   2.24610E-09   8.39300E+03   5.06081E-04   6.82466E-06   1.16804E-02   5.12938E-09   7.59224E-03   8.86801E-05   2.24610E-08
 1.63750E-09   1.00000E+02   1.40000E+03   3.63088E-09   6.82809E+03   6.66192E-04   7.56641E-06   1.43173E-02   6.76497E-09   9.30627E-03   1.33241E-04   3.63089E-08
 1.76350E-09   1.00000E+02   1.40000E+03   5.67973E-09   5.63268E+03   8.60432E-04   8.33072E-06   1.73049E-02   8.75489E-09   1.12482E-02   1.94649E-04   5.67974E-08
 1.88950E-09   1.00000E+02   1.40000E+03   8.63298E-09   4.70338E+03   1.09298E-03   9.11664E-06   2.06601E-02   1.11444E-08   1.34291E-02   2.77446E-04   8.63297E-08
 2.01550E-09   1.00000E+02   1.40000E+03   1.27931E-08   3.96978E+03   1.36815E-03   9.92331E-06   2.43991E-02   1.39809E-08   1.58594E-02   3.86954E-04   1.27931E-07
