Time (s)   V_cell (kV)              I_cell (kA)              
 0.00000E+00   0.00000E+00   0.00000E+00
 2.25000E-11   0.00000E+00   0.00000E+00
 4.75000E-11   0.00000E+00   0.00000E+00
 7.25000E-11   0.00000E+00   0.00000E+00
 9.75000E-11   0.00000E+00   0.00000E+00
 1.22500E-10   0.00000E+00   0.00000E+00
 1.47500E-10   0.00000E+00   0.00000E+00
 1.72500E-10   0.00000E+00   0.00000E+00
 1.97500E-10   0.00000E+00   0.00000E+00
 2.22500E-10   0.00000E+00   0.00000E+00
 2.47500E-10   0.00000E+00   0.00000E+00
 2.72500E-10   0.00000E+00   0.00000E+00
 2.97500E-10   0.00000E+00   0.00000E+00
 3.22500E-10   0.00000E+00   0.00000E+00
 3.47500E-10   0.00000E+00   0.00000E+00
 3.72500E-10   0.00000E+00   0.00000E+00
 3.97500E-10   0.00000E+00   0.00000E+00
 4.22500E-10   0.00000E+00   0.00000E+00
 4.47500E-10   0.00000E+00   0.00000E+00
 4.72500E-10   0.00000E+00   0.00000E+00
 4.97500E-10   0.00000E+00   0.00000E+00
 5.22500E-10   0.00000E+00   0.00000E+00
 5.47500E-10   0.00000E+00   0.00000E+00
 5.72500E-10   0.00000E+00   0.00000E+00
 5.97500E-10   0.00000E+00   0.00000E+00
 6.22500E-10   0.00000E+00   0.00000E+00
 6.47500E-10   0.00000E+00   0.00000E+00
 6.72500E-10   0.00000E+00   0.00000E+00
 6.97500E-10   0.00000E+00   0.00000E+00
 7.22500E-10   0.00000E+00   0.00000E+00
 7.47500E-10   0.00000E+00   0.00000E+00
 7.72500E-10   0.00000E+00   0.00000E+00
 7.97500E-10   0.00000E+00   0.00000E+00
 8.22500E-10   0.00000E+00   0.00000E+00
 8.47500E-10   0.00000E+00   0.00000E+00
 8.72500E-10   0.00000E+00   0.00000E+00
 8.97500E-10   0.00000E+00   0.00000E+00
 9.22500E-10   0.00000E+00   0.00000E+00
 9.47500E-10   0.00000E+00   0.00000E+00
 9.72500E-10   0.00000E+00   0.00000E+00
 9.97500E-10   0.00000E+00   0.00000E+00
 1.02250E-09   0.00000E+00   0.00000E+00
 1.04750E-09   0.00000E+00   0.00000E+00
 1.07250E-09   0.00000E+00   0.00000E+00
 1.09750E-09   0.00000E+00   0.00000E+00
 1.12250E-09   0.00000E+00   0.00000E+00
 1.14750E-09   0.00000E+00   0.00000E+00
 1.17250E-09   0.00000E+00   0.00000E+00
 1.19750E-09   0.00000E+00   0.00000E+00
 1.22250E-09   0.00000E+00   0.00000E+00
 1.24750E-09   0.00000E+00   0.00000E+00
 1.27250E-09   0.00000E+00   0.00000E+00
 1.29750E-09   0.00000E+00   0.00000E+00
 1.32250E-09   0.00000E+00   0.00000E+00
 1.34750E-09   0.00000E+00   0.00000E+00
 1.37250E-09   0.00000E+00   0.00000E+00
 1.39750E-09   0.00000E+00   0.00000E+00
 1.42250E-09   0.00000E+00   0.00000E+00
 1.44750E-09   0.00000E+00   0.00000E+00
 1.47250E-09   0.00000E+00   0.00000E+00
 1.49750E-09   0.00000E+00   0.00000E+00
 1.52250E-09   0.00000E+00   0.00000E+00
 1.54750E-09   0.00000E+00   0.00000E+00
 1.57250E-09   0.00000E+00   0.00000E+00
 1.59750E-09   0.00000E+00   0.00000E+00
 1.62250E-09   0.00000E+00   0.00000E+00
 1.64750E-09   0.00000E+00   0.00000E+00
 1.67250E-09   0.00000E+00   0.00000E+00
 1.69750E-09   0.00000E+00   0.00000E+00
 1.72250E-09   0.00000E+00   0.00000E+00
 1.74750E-09   0.00000E+00   0.00000E+00
 1.77250E-09   0.00000E+00   0.00000E+00
 1.79750E-09   0.00000E+00   0.00000E+00
 1.82250E-09   0.00000E+00   0.00000E+00
 1.84750E-09   0.00000E+00   0.00000E+00
 1.87250E-09   0.00000E+00   0.00000E+00
 1.89750E-09   0.00000E+00   0.00000E+00
 1.92250E-09   0.00000E+00   0.00000E+00
 1.94750E-09   0.00000E+00   0.00000E+00
 1.97250E-09   0.00000E+00   0.00000E+00
 1.99750E-09   0.00000E+00   0.00000E+00
 2.02250E-09   0.00000E+00   0.00000E+00
 2.04750E-09   0.00000E+00   0.00000E+00
 2.07250E-09   0.00000E+00   0.00000E+00
 2.09750E-09   0.00000E+00   0.00000E+00
 2.12250E-09   0.00000E+00   0.00000E+00
 2.14750E-09   0.00000E+00   0.00000E+00
 2.17250E-09   0.00000E+00   0.00000E+00
 2.19750E-09   0.00000E+00   0.00000E+00
 2.22250E-09   0.00000E+00   0.00000E+00
 2.24750E-09   0.00000E+00   0.00000E+00
 2.27250E-09   0.00000E+00   0.00000E+00
 2.29750E-09   0.00000E+00   0.00000E+00
 2.32250E-09   0.00000E+00   0.00000E+00
 2.34750E-09   0.00000E+00   0.00000E+00
 2.37250E-09   0.00000E+00   0.00000E+00
 2.39750E-09   0.00000E+00   0.00000E+00
 2.42250E-09   0.00000E+00   0.00000E+00
 2.44750E-09   0.00000E+00   0.00000E+00
 2.47250E-09   0.00000E+00   0.00000E+00
 2.49750E-09   0.00000E+00   0.00000E+00
