Time (s)   VCAP                     VCOAX                    ICOAX                    VTWO                     ITWO                     VONE                     IONE                     VTWIN                    ITWIN                    VCOIL                    ICOIL                    
 0.00000E+00   3.00000E+04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.25000E-09   3.00000E+04   4.42573E+01   1.40543E+02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 4.75000E-09   2.99998E+04   1.07551E+02   2.96394E+02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 7.25000E-09   2.99995E+04   1.71300E+02   4.51915E+02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 9.75000E-09   2.99991E+04   2.34614E+02   6.07105E+02  -0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 1.22500E-08   2.99987E+04   2.97508E+02   7.61964E+02  -0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 1.47500E-08   2.99981E+04   3.60368E+02   9.16492E+02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 1.72500E-08   2.99974E+04   4.23247E+02   1.07069E+03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 1.97500E-08   2.99965E+04   4.85928E+02   1.22456E+03   0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 2.22500E-08   2.99956E+04   5.48379E+02   1.37809E+03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 2.47500E-08   2.99946E+04   6.10746E+02   1.53130E+03  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 2.72500E-08   2.99934E+04   6.73042E+02   1.68417E+03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 2.97500E-08   2.99922E+04   7.35160E+02   1.83672E+03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 3.22500E-08   2.99908E+04   7.97101E+02   1.98893E+03  -0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 3.47500E-08   2.99893E+04   8.58945E+02   2.14082E+03  -0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 3.72500E-08   2.99877E+04   9.20686E+02   2.29238E+03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 3.97500E-08   2.99861E+04   9.82258E+02   2.44360E+03   0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 4.22500E-08   2.99842E+04   1.04368E+03   2.59450E+03  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 4.47500E-08   2.99823E+04   1.10499E+03   2.74507E+03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
 4.72500E-08   2.99803E+04   1.16618E+03   2.89530E+03   0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00
