Time (s)   V_cap (kV)               E_cap                    I_load (kA)              E_load                   P_load (MW)              
 0.00000E+00   2.00000E+02   8.00000E+02   0.00000E+00   0.00000E+00   0.00000E+00
 1.25000E-09   1.99977E+02   7.99815E+02   1.41863E+00   2.63986E-03   3.76542E+00
 2.75000E-09   1.99892E+02   7.99138E+02   3.09616E+00   2.13143E-02   1.79358E+01
 4.25000E-09   1.99745E+02   7.97962E+02   4.74601E+00   7.13392E-02   4.21436E+01
 5.75000E-09   1.99537E+02   7.96297E+02   6.36811E+00   1.67256E-01   7.58743E+01
 7.25000E-09   1.99268E+02   7.94153E+02   7.96236E+00   3.22839E-01   1.18620E+02
 8.75000E-09   1.98940E+02   7.91541E+02   9.52872E+00   5.51111E-01   1.69880E+02
 1.02500E-08   1.98554E+02   7.88470E+02   1.10671E+01   8.64349E-01   2.29162E+02
 1.17500E-08   1.98110E+02   7.84952E+02   1.25775E+01   1.27410E+00   2.95980E+02
 1.32500E-08   1.97611E+02   7.80999E+02   1.40599E+01   1.79119E+00   3.69859E+02
 1.47500E-08   1.97056E+02   7.76621E+02   1.55141E+01   2.42574E+00   4.50329E+02
 1.62500E-08   1.96447E+02   7.71832E+02   1.69404E+01   3.18718E+00   5.36931E+02
 1.77500E-08   1.95786E+02   7.66642E+02   1.83385E+01   4.08426E+00   6.29216E+02
 1.92500E-08   1.95072E+02   7.61065E+02   1.97085E+01   5.12505E+00   7.26742E+02
 2.07500E-08   1.94308E+02   7.55112E+02   2.10504E+01   6.31699E+00   8.29079E+02
 2.22500E-08   1.93494E+02   7.48798E+02   2.23643E+01   7.66687E+00   9.35804E+02
 2.37500E-08   1.92631E+02   7.42135E+02   2.36502E+01   9.18086E+00   1.04651E+03
 2.52500E-08   1.91721E+02   7.35136E+02   2.49080E+01   1.08645E+01   1.16079E+03
 2.67500E-08   1.90763E+02   7.27814E+02   2.61379E+01   1.27228E+01   1.27825E+03
 2.82500E-08   1.89761E+02   7.20182E+02   2.73399E+01   1.47602E+01   1.39852E+03
 2.97500E-08   1.88713E+02   7.12254E+02   2.85141E+01   1.69804E+01   1.52122E+03
 3.12500E-08   1.87622E+02   7.04043E+02   2.96604E+01   1.93868E+01   1.64600E+03
 3.27500E-08   1.86489E+02   6.95564E+02   3.07791E+01   2.19821E+01   1.77250E+03
 3.42500E-08   1.85314E+02   6.86828E+02   3.18702E+01   2.47686E+01   1.90039E+03
 3.57500E-08   1.84099E+02   6.77850E+02   3.29338E+01   2.77481E+01   2.02935E+03
 3.72500E-08   1.82845E+02   6.68644E+02   3.39699E+01   3.09217E+01   2.15905E+03
 3.87500E-08   1.81552E+02   6.59221E+02   3.49787E+01   3.42904E+01   2.28919E+03
 4.02500E-08   1.80222E+02   6.49597E+02   3.59603E+01   3.78545E+01   2.41948E+03
 4.17500E-08   1.78855E+02   6.39783E+02   3.69149E+01   4.16139E+01   2.54963E+03
 4.32500E-08   1.77453E+02   6.29794E+02   3.78425E+01   4.55681E+01   2.67937E+03
 4.47500E-08   1.76017E+02   6.19642E+02   3.87432E+01   4.97163E+01   2.80844E+03
 4.62500E-08   1.74548E+02   6.09340E+02   3.96173E+01   5.40573E+01   2.93659E+03
 4.77500E-08   1.73046E+02   5.98901E+02   4.04648E+01   5.85893E+01   3.06358E+03
 4.92500E-08   1.71514E+02   5.88338E+02   4.12860E+01   6.33104E+01   3.18918E+03
 5.07500E-08   1.69950E+02   5.77662E+02   4.20809E+01   6.82184E+01   3.31317E+03
 5.22500E-08   1.68358E+02   5.66887E+02   4.28498E+01   7.33105E+01   3.43535E+03
 5.37500E-08   1.66737E+02   5.56024E+02   4.35927E+01   7.85839E+01   3.55551E+03
 5.52500E-08   1.65089E+02   5.45085E+02   4.43100E+01   8.40354E+01   3.67347E+03
 5.67500E-08   1.63414E+02   5.34082E+02   4.50017E+01   8.96615E+01   3.78905E+03
 5.82500E-08   1.61714E+02   5.23027E+02   4.56680E+01   9.54584E+01   3.90210E+03
 5.97500E-08   1.59989E+02   5.11931E+02   4.63092E+01   1.01422E+02   4.01244E+03
 6.12500E-08   1.58241E+02   5.00804E+02   4.69254E+01   1.07549E+02   4.11993E+03
 6.27500E-08   1.56470E+02   4.89658E+02   4.75169E+01   1.13833E+02   4.22444E+03
 6.42500E-08   1.54678E+02   4.78503E+02   4.80838E+01   1.20272E+02   4.32584E+03
 6.57500E-08   1.52864E+02   4.67349E+02   4.86263E+01   1.26859E+02   4.42401E+03
 6.72500E-08   1.51031E+02   4.56207E+02   4.91447E+01   1.33590E+02   4.51885E+03
 6.87500E-08   1.49179E+02   4.45085E+02   4.96392E+01   1.40460E+02   4.61024E+03
 7.02500E-08   1.47308E+02   4.33995E+02   5.01100E+01   1.47464E+02   4.69810E+03
 7.17500E-08   1.45421E+02   4.22944E+02   5.05573E+01   1.54596E+02   4.78236E+03
 7.32500E-08   1.43517E+02   4.11941E+02   5.09814E+01   1.61850E+02   4.86293E+03
 7.47500E-08   1.41597E+02   4.00997E+02   5.13825E+01   1.69222E+02   4.93974E+03
 7.62500E-08   1.39663E+02   3.90117E+02   5.17608E+01   1.76705E+02   5.01275E+03
 7.77500E-08   1.37716E+02   3.79312E+02   5.21166E+01   1.84294E+02   5.08190E+03
 7.92500E-08   1.35755E+02   3.68588E+02   5.24501E+01   1.91982E+02   5.14715E+03
 8.07500E-08   1.33782E+02   3.57953E+02   5.27616E+01   1.99765E+02   5.20847E+03
 8.22500E-08   1.31798E+02   3.47415E+02   5.30513E+01   2.07635E+02   5.26583E+03
 8.37500E-08   1.29804E+02   3.36979E+02   5.33195E+01   2.15588E+02   5.31920E+03
 8.52500E-08   1.27799E+02   3.26654E+02   5.35664E+01   2.23616E+02   5.36858E+03
 8.67500E-08   1.25786E+02   3.16444E+02   5.37924E+01   2.31715E+02   5.41396E+03
 8.82500E-08   1.23765E+02   3.06357E+02   5.39975E+01   2.39878E+02   5.45533E+03
 8.97500E-08   1.21737E+02   2.96397E+02   5.41822E+01   2.48099E+02   5.49272E+03
 9.12500E-08   1.19702E+02   2.86571E+02   5.43467E+01   2.56372E+02   5.52611E+03
 9.27500E-08   1.17661E+02   2.76883E+02   5.44912E+01   2.64691E+02   5.55555E+03
 9.42500E-08   1.15615E+02   2.67338E+02   5.46161E+01   2.73050E+02   5.58103E+03
 9.57500E-08   1.13565E+02   2.57941E+02   5.47215E+01   2.81443E+02   5.60260E+03
 9.72500E-08   1.11511E+02   2.48696E+02   5.48078E+01   2.89866E+02   5.62029E+03
 9.87500E-08   1.09455E+02   2.39607E+02   5.48753E+01   2.98310E+02   5.63414E+03
 1.00250E-07   1.07396E+02   2.30678E+02   5.49242E+01   3.06772E+02   5.64418E+03
 1.01750E-07   1.05336E+02   2.21912E+02   5.49548E+01   3.15245E+02   5.65048E+03
 1.03250E-07   1.03275E+02   2.13313E+02   5.49674E+01   3.23724E+02   5.65307E+03
 1.04750E-07   1.01213E+02   2.04883E+02   5.49623E+01   3.32202E+02   5.65201E+03
 1.06250E-07   9.91527E+01   1.96625E+02   5.49397E+01   3.40676E+02   5.64737E+03
 1.07750E-07   9.70931E+01   1.88542E+02   5.49000E+01   3.49140E+02   5.63921E+03
 1.09250E-07   9.50354E+01   1.80635E+02   5.48434E+01   3.57587E+02   5.62759E+03
 1.10750E-07   9.29801E+01   1.72906E+02   5.47702E+01   3.66014E+02   5.61258E+03
 1.12250E-07   9.09278E+01   1.65357E+02   5.46807E+01   3.74415E+02   5.59425E+03
 1.13750E-07   8.88792E+01   1.57990E+02   5.45752E+01   3.82785E+02   5.57269E+03
 1.15250E-07   8.68349E+01   1.50806E+02   5.44540E+01   3.91120E+02   5.54796E+03
 1.16750E-07   8.47954E+01   1.43805E+02   5.43174E+01   3.99414E+02   5.52015E+03
 1.18250E-07   8.27613E+01   1.36989E+02   5.41656E+01   4.07664E+02   5.48934E+03
 1.19750E-07   8.07332E+01   1.30357E+02   5.39989E+01   4.15864E+02   5.45562E+03
 1.21250E-07   7.87116E+01   1.23910E+02   5.38177E+01   4.24012E+02   5.41906E+03
 1.22750E-07   7.66971E+01   1.17649E+02   5.36222E+01   4.32101E+02   5.37976E+03
 1.24250E-07   7.46901E+01   1.11572E+02   5.34127E+01   4.40129E+02   5.33781E+03
 1.25750E-07   7.26913E+01   1.05680E+02   5.31895E+01   4.48092E+02   5.29329E+03
