Time (s)   V_brick                  E_brick                  E_ESR                    R_switch (½)             E_switch (J)             Radius_switch (m)        I_brick                  Q_brick                  V_out                    P_out                    E_out                    
 0.00000E+00   2.00000E+05   8.00000E+02   0.00000E+00   1.00000E+10   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.55000E-11   2.00000E+05   8.00000E+02   1.02437E-13   1.07809E+06   1.34615E-06   4.45796E-07   1.84986E-01   6.74602E-12   4.62465E-01   8.55496E-02   1.96994E-12
 1.51500E-10   2.00000E+05   8.00000E+02   1.34478E-12   3.79614E+05   6.50348E-06   7.51266E-07   5.24181E-01   3.26391E-11   1.31045E+00   6.86913E-01   2.58611E-11
 2.27500E-10   2.00000E+05   8.00000E+02   7.69356E-12   1.83954E+05   1.83626E-05   1.07922E-06   1.07874E+00   9.23273E-11   2.69686E+00   2.90922E+00   1.47953E-10
 3.03500E-10   2.00000E+05   8.00000E+02   2.95013E-11   1.04609E+05   4.04481E-05   1.43114E-06   1.89084E+00   2.03818E-10   4.72709E+00   8.93815E+00   5.67332E-10
 3.79500E-10   2.00000E+05   8.00000E+02   8.86877E-11   6.56857E+04   7.68516E-05   1.80605E-06   3.00014E+00   3.88227E-10   7.50035E+00   2.25021E+01   1.70553E-09
 4.55500E-10   2.00000E+05   8.00000E+02   2.25824E-10   4.41625E+04   1.32177E-04   2.20261E-06   4.44386E+00   6.69591E-10   1.11096E+01   4.93697E+01   4.34277E-09
 5.31500E-10   2.00000E+05   8.00000E+02   5.09220E-10   3.12246E+04   2.11485E-04   2.61949E-06   6.25659E+00   1.07467E-09   1.56415E+01   9.78623E+01   9.79270E-09
 6.07500E-10   2.00000E+05   8.00000E+02   1.04604E-09   2.29502E+04   3.20231E-04   3.05542E-06   8.47031E+00   1.63277E-09   2.11758E+01   1.79365E+02   2.01162E-08
 6.83500E-10   2.00000E+05   8.00000E+02   1.99540E-09   1.73980E+04   4.64213E-04   3.50926E-06   1.11143E+01   2.37549E-09   2.77857E+01   3.08818E+02   3.83731E-08
 7.59500E-10   2.00000E+05   8.00000E+02   3.58336E-09   1.35263E+04   6.49509E-04   3.97994E-06   1.42151E+01   3.33659E-09   3.55378E+01   5.05175E+02   6.89108E-08
 8.35500E-10   2.00000E+05   8.00000E+02   6.11960E-09   1.07399E+04   8.82427E-04   4.46648E-06   1.77968E+01   4.55172E-09   4.44920E+01   7.91816E+02   1.17685E-07
 9.11500E-10   2.00000E+05   8.00000E+02   1.00157E-08   8.68096E+03   1.16945E-03   4.96799E-06   2.18807E+01   6.05826E-09   5.47017E+01   1.19691E+03   1.92609E-07
 9.87500E-10   2.00000E+05   8.00000E+02   1.58047E-08   7.12512E+03   1.51718E-03   5.48364E-06   2.64857E+01   7.89513E-09   6.62142E+01   1.75373E+03   3.03936E-07
 1.06350E-09   2.00000E+05   8.00000E+02   2.41616E-08   5.92649E+03   1.93230E-03   6.01265E-06   3.16283E+01   1.01026E-08   7.90707E+01   2.50087E+03   4.64646E-07
 1.13950E-09   2.00000E+05   8.00000E+02   3.59251E-08   4.98743E+03   2.42154E-03   6.55430E-06   3.73227E+01   1.27220E-08   9.33069E+01   3.48247E+03   6.90868E-07
 1.21550E-09   2.00000E+05   8.00000E+02   5.21196E-08   4.24075E+03   2.99161E-03   7.10793E-06   4.35812E+01   1.57959E-08   1.08953E+02   4.74830E+03   1.00230E-06
 1.29150E-09   2.00000E+05   8.00000E+02   7.39776E-08   3.63923E+03   3.64920E-03   7.67291E-06   5.04137E+01   1.93675E-08   1.26034E+02   6.35385E+03   1.42265E-06
 1.36750E-09   2.00000E+05   8.00000E+02   1.02962E-07   3.14894E+03   4.40092E-03   8.24865E-06   5.78285E+01   2.34807E-08   1.44571E+02   8.36035E+03   1.98005E-06
 1.44350E-09   2.00000E+05   8.00000E+02   1.40790E-07   2.74508E+03   5.25331E-03   8.83460E-06   6.58322E+01   2.81800E-08   1.64581E+02   1.08347E+04   2.70751E-06
 1.51950E-09   2.00000E+05   8.00000E+02   1.89454E-07   2.40926E+03   6.21277E-03   9.43025E-06   7.44297E+01   3.35105E-08   1.86074E+02   1.38495E+04   3.64335E-06
 1.59550E-09   2.00000E+05   8.00000E+02   2.51244E-07   2.12758E+03   7.28558E-03   1.00351E-05   8.36246E+01   3.95174E-08   2.09061E+02   1.74827E+04   4.83162E-06
 1.67150E-09   2.00000E+05   8.00000E+02   3.28769E-07   1.88945E+03   8.47786E-03   1.06487E-05   9.34188E+01   4.62461E-08   2.33547E+02   2.18177E+04   6.32248E-06
 1.74750E-09   2.00000E+05   8.00000E+02   4.24978E-07   1.68668E+03   9.79557E-03   1.12706E-05   1.03814E+02   5.37424E-08   2.59534E+02   2.69431E+04   8.17266E-06
 1.82350E-09   2.00000E+05   8.00000E+02   5.43181E-07   1.51286E+03   1.12445E-02   1.19005E-05   1.14809E+02   6.20517E-08   2.87021E+02   3.29525E+04   1.04458E-05
 1.89950E-09   2.00000E+05   8.00000E+02   6.87067E-07   1.36296E+03   1.28303E-02   1.25379E-05   1.26403E+02   7.12198E-08   3.16007E+02   3.99441E+04   1.32128E-05
 1.97550E-09   2.00000E+05   8.00000E+02   8.60721E-07   1.23293E+03   1.45582E-02   1.31824E-05   1.38594E+02   8.12920E-08   3.46486E+02   4.80209E+04   1.65523E-05
 2.05150E-09   2.00000E+05   8.00000E+02   1.06865E-06   1.11956E+03   1.64336E-02   1.38338E-05   1.51380E+02   9.23136E-08   3.78450E+02   5.72898E+04   2.05509E-05
 2.12750E-09   2.00000E+05   8.00000E+02   1.31577E-06   1.02021E+03   1.84615E-02   1.44917E-05   1.64757E+02   1.04330E-07   4.11892E+02   6.78621E+04   2.53033E-05
 2.20350E-09   2.00000E+05   8.00000E+02   1.60748E-06   9.32762E+02   2.06467E-02   1.51558E-05   1.78721E+02   1.17385E-07   4.46802E+02   7.98527E+04   3.09131E-05
 2.27950E-09   2.00000E+05   8.00000E+02   1.94962E-06   8.55453E+02   2.29938E-02   1.58258E-05   1.93267E+02   1.31524E-07   4.83167E+02   9.33800E+04   3.74926E-05
 2.35550E-09   2.00000E+05   8.00000E+02   2.34849E-06   7.86833E+02   2.55072E-02   1.65015E-05   2.08390E+02   1.46791E-07   5.20975E+02   1.08566E+05   4.51633E-05
 2.43150E-09   2.00000E+05   8.00000E+02   2.81091E-06   7.25695E+02   2.81911E-02   1.71826E-05   2.24085E+02   1.63229E-07   5.60211E+02   1.25535E+05   5.40559E-05
 2.50750E-09   2.00000E+05   8.00000E+02   3.34417E-06   6.71030E+02   3.10497E-02   1.78687E-05   2.40345E+02   1.80882E-07   6.00863E+02   1.44414E+05   6.43109E-05
 2.58350E-09   2.00000E+05   8.00000E+02   3.95608E-06   6.21987E+02   3.40866E-02   1.85598E-05   2.57165E+02   1.99793E-07   6.42913E+02   1.65335E+05   7.60785E-05
 2.65950E-09   2.00000E+05   8.00000E+02   4.65498E-06   5.77849E+02   3.73057E-02   1.92556E-05   2.74538E+02   2.20002E-07   6.86345E+02   1.88428E+05   8.95188E-05
 2.73550E-09   2.00000E+05   8.00000E+02   5.44972E-06   5.38006E+02   4.07103E-02   1.99559E-05   2.92458E+02   2.41554E-07   7.31144E+02   2.13829E+05   1.04802E-04
 2.81150E-09   2.00000E+05   8.00000E+02   6.34968E-06   5.01939E+02   4.43037E-02   2.06604E-05   3.10917E+02   2.64488E-07   7.77292E+02   2.41673E+05   1.22109E-04
 2.88750E-09   2.00000E+05   8.00000E+02   7.36481E-06   4.69201E+02   4.80891E-02   2.13691E-05   3.29908E+02   2.88845E-07   8.24771E+02   2.72099E+05   1.41631E-04
 2.96350E-09   2.00000E+05   8.00000E+02   8.50558E-06   4.39409E+02   5.20695E-02   2.20816E-05   3.49425E+02   3.14667E-07   8.73563E+02   3.05245E+05   1.63569E-04
 3.03950E-09   2.00000E+05   8.00000E+02   9.78304E-06   4.12231E+02   5.62476E-02   2.27979E-05   3.69460E+02   3.41991E-07   9.23651E+02   3.41253E+05   1.88135E-04
 3.11550E-09   2.00000E+05   8.00000E+02   1.12087E-05   3.87381E+02   6.06260E-02   2.35177E-05   3.90006E+02   3.70858E-07   9.75016E+02   3.80262E+05   2.15553E-04
 3.19150E-09   2.00000E+05   8.00000E+02   1.27949E-05   3.64610E+02   6.52073E-02   2.42410E-05   4.11056E+02   4.01305E-07   1.02764E+03   4.22417E+05   2.46056E-04
 3.26750E-09   2.00000E+05   8.00000E+02   1.45541E-05   3.43698E+02   6.99937E-02   2.49676E-05   4.32601E+02   4.33372E-07   1.08150E+03   4.67859E+05   2.79887E-04
 3.34350E-09   2.00000E+05   8.00000E+02   1.64998E-05   3.24457E+02   7.49875E-02   2.56972E-05   4.54635E+02   4.67095E-07   1.13659E+03   5.16733E+05   3.17304E-04
 3.41950E-09   2.00000E+05   8.00000E+02   1.86458E-05   3.06717E+02   8.01908E-02   2.64299E-05   4.77151E+02   5.02511E-07   1.19288E+03   5.69182E+05   3.58572E-04
