Time (s)   V_brick (kV)             E_brick (kJ)             I_brick (kA)             V_out (kV)               P_out (MW)               E_out (J)                
 0.00000E+00   1.00000E+02   1.40000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.25500E-10   1.00000E+02   1.40000E+00   9.80144E-02   6.62675E-02   6.49517E-03   2.75016E-07
 2.51500E-10   1.00000E+02   1.40000E+00   1.96354E-01   1.32755E-01   2.60669E-02   2.19906E-06
 3.77500E-10   1.00000E+02   1.40000E+00   2.94628E-01   1.99198E-01   5.86893E-02   7.41813E-06
 5.03500E-10   1.00000E+02   1.40000E+00   3.92837E-01   2.65597E-01   1.04336E-01   1.75749E-05
 6.29500E-10   1.00000E+02   1.40000E+00   4.90980E-01   3.31952E-01   1.62982E-01   3.43090E-05
 7.55500E-10   1.00000E+02   1.40000E+00   5.89058E-01   3.98262E-01   2.34600E-01   5.92563E-05
 8.81500E-10   1.00000E+02   1.40000E+00   6.87071E-01   4.64529E-01   3.19164E-01   9.40500E-05
 1.00750E-09   1.00000E+02   1.40000E+00   7.85019E-01   5.30751E-01   4.16650E-01   1.40320E-04
 1.13350E-09   1.00000E+02   1.40000E+00   8.82902E-01   5.96930E-01   5.27030E-01   1.99691E-04
 1.25950E-09   1.00000E+02   1.40000E+00   9.80718E-01   6.63063E-01   6.50278E-01   2.73788E-04
 1.38550E-09   1.00000E+02   1.40000E+00   1.07847E+00   7.29154E-01   7.86372E-01   3.64231E-04
 1.51150E-09   1.00000E+02   1.40000E+00   1.17616E+00   7.95201E-01   9.35282E-01   4.72635E-04
 1.63750E-09   1.00000E+02   1.40000E+00   1.27378E+00   8.61203E-01   1.09698E+00   6.00614E-04
 1.76350E-09   1.00000E+02   1.40000E+00   1.37134E+00   9.27162E-01   1.27145E+00   7.49779E-04
 1.88950E-09   1.00000E+02   1.40000E+00   1.46883E+00   9.93076E-01   1.45866E+00   9.21736E-04
 2.01550E-09   1.00000E+02   1.40000E+00   1.56626E+00   1.05895E+00   1.65858E+00   1.11809E-03
 2.14150E-09   1.00000E+02   1.40000E+00   1.66362E+00   1.12477E+00   1.87120E+00   1.34044E-03
 2.26750E-09   1.00000E+02   1.40000E+00   1.76092E+00   1.19056E+00   2.09647E+00   1.59038E-03
 2.39350E-09   1.00000E+02   1.40000E+00   1.85815E+00   1.25630E+00   2.33439E+00   1.86951E-03
 2.51950E-09   1.00000E+02   1.40000E+00   1.95532E+00   1.32199E+00   2.58492E+00   2.17942E-03
 2.64550E-09   1.00000E+02   1.40000E+00   2.05243E+00   1.38765E+00   2.84804E+00   2.52170E-03
 2.77150E-09   9.99987E+01   1.39996E+00   2.14947E+00   1.45325E+00   3.12372E+00   2.89792E-03
 2.89750E-09   9.99974E+01   1.39993E+00   2.24644E+00   1.51882E+00   3.41193E+00   3.30968E-03
 3.02350E-09   9.99961E+01   1.39989E+00   2.34335E+00   1.58434E+00   3.71265E+00   3.75855E-03
 3.14950E-09   9.99948E+01   1.39985E+00   2.44019E+00   1.64981E+00   4.02585E+00   4.24610E-03
 3.27550E-09   9.99934E+01   1.39982E+00   2.53696E+00   1.71524E+00   4.35150E+00   4.77391E-03
 3.40150E-09   9.99921E+01   1.39978E+00   2.63367E+00   1.78063E+00   4.68959E+00   5.34354E-03
 3.52750E-09   9.99907E+01   1.39974E+00   2.73032E+00   1.84597E+00   5.04007E+00   5.95656E-03
 3.65350E-09   9.99893E+01   1.39970E+00   2.82689E+00   1.91126E+00   5.40294E+00   6.61452E-03
 3.77950E-09   9.99878E+01   1.39966E+00   2.92341E+00   1.97651E+00   5.77815E+00   7.31899E-03
 3.90550E-09   9.99863E+01   1.39962E+00   3.01985E+00   2.04172E+00   6.16570E+00   8.07151E-03
 4.03150E-09   9.99848E+01   1.39958E+00   3.11623E+00   2.10689E+00   6.56555E+00   8.87366E-03
 4.15750E-09   9.99833E+01   1.39953E+00   3.21255E+00   2.17200E+00   6.97767E+00   9.72696E-03
 4.28350E-09   9.99818E+01   1.39949E+00   3.30880E+00   2.23708E+00   7.40205E+00   1.06330E-02
 4.40950E-09   9.99802E+01   1.39945E+00   3.40499E+00   2.30211E+00   7.83865E+00   1.15932E-02
 4.53550E-09   9.99786E+01   1.39940E+00   3.50111E+00   2.36710E+00   8.28746E+00   1.26093E-02
