Time (s)   V_brick (kV)             E_brick (J)              E_ESR (J)                R_switch (½)             E_switch (J)             Radius_switch (m)        I_brick (kA)             Q_brick                  V_out (kV)               P_out (MW)               E_out (J)                
 0.00000E+00   1.00000E+02   1.40000E+03   0.00000E+00   1.00000E+10   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.25500E-10   1.00000E+02   1.40000E+03   1.16620E-14   1.40253E+06   4.06327E-07   5.27939E-07   7.12249E-05   4.06655E-12   4.35255E-05   3.10010E-09   1.09641E-13
 2.51500E-10   1.00000E+02   1.40000E+03   1.83407E-13   4.53619E+05   2.14554E-06   9.28312E-07   2.20004E-04   2.14867E-11   1.34445E-04   2.95784E-08   1.72431E-12
 3.77500E-10   1.00000E+02   1.40000E+03   1.17256E-12   2.08922E+05   6.41143E-06   1.36788E-06   4.77092E-04   6.42609E-11   2.91551E-04   1.39097E-07   1.10239E-11
 5.03500E-10   1.00000E+02   1.40000E+03   4.86435E-12   1.14690E+05   1.47166E-05   1.84619E-06   8.67785E-04   1.47650E-10   5.30304E-04   4.60189E-07   4.57324E-11
 6.29500E-10   1.00000E+02   1.40000E+03   1.55321E-11   7.01332E+04   2.88766E-05   2.36090E-06   1.41663E-03   2.90056E-10   8.65704E-04   1.22638E-06   1.46025E-10
 7.55500E-10   1.00000E+02   1.40000E+03   4.15209E-11   4.61744E+04   5.09960E-05   2.90964E-06   2.14742E-03   5.12925E-10   1.31229E-03   2.81804E-06   3.90361E-10
 8.81500E-10   1.00000E+02   1.40000E+03   9.75259E-11   3.20893E+04   8.34538E-05   3.49028E-06   3.08314E-03   8.40649E-10   1.88411E-03   5.80897E-06   9.16894E-10
 1.00750E-09   1.00000E+02   1.40000E+03   2.07521E-10   2.32443E+04   1.28888E-04   4.10092E-06   4.24591E-03   1.30046E-09   2.59468E-03   1.10168E-05   1.95102E-09
 1.13350E-09   1.00000E+02   1.40000E+03   4.08382E-10   1.73998E+04   1.90177E-04   4.73988E-06   5.65695E-03   1.92233E-09   3.45696E-03   1.95558E-05   3.83942E-09
 1.25950E-09   1.00000E+02   1.40000E+03   7.54232E-10   1.33777E+04   2.70425E-04   5.40566E-06   7.33653E-03   2.73884E-09   4.48335E-03   3.28922E-05   7.09095E-09
 1.38550E-09   1.00000E+02   1.40000E+03   1.32153E-09   1.05162E+04   3.72942E-04   6.09690E-06   9.30395E-03   3.78506E-09   5.68564E-03   5.28989E-05   1.24244E-08
 1.51150E-09   1.00000E+02   1.40000E+03   2.21490E-09   8.42334E+03   5.01225E-04   6.81236E-06   1.15775E-02   5.09842E-09   7.07500E-03   8.19108E-05   2.08235E-08
 1.63750E-09   1.00000E+02   1.40000E+03   3.57368E-09   6.85618E+03   6.58945E-04   7.55090E-06   1.41744E-02   6.71860E-09   8.66199E-03   1.22779E-04   3.35981E-08
 1.76350E-09   1.00000E+02   1.40000E+03   5.57919E-09   5.65879E+03   8.49917E-04   8.31147E-06   1.71110E-02   8.68740E-09   1.04565E-02   1.78922E-04   5.24529E-08
 1.88950E-09   1.00000E+02   1.40000E+03   8.46269E-09   4.72775E+03   1.07809E-03   9.09311E-06   2.04024E-02   1.10486E-08   1.24679E-02   2.54376E-04   7.95623E-08
 2.01550E-09   1.00000E+02   1.40000E+03   1.25140E-08   3.99260E+03   1.34754E-03   9.89491E-06   2.40629E-02   1.38478E-08   1.47048E-02   3.53840E-04   1.17651E-07
 2.14150E-09   1.00000E+02   1.40000E+03   1.80905E-08   3.40417E+03   1.66243E-03   1.07160E-05   2.81055E-02   1.71323E-08   1.71753E-02   4.82719E-04   1.70079E-07
 2.26750E-09   1.00000E+02   1.40000E+03   2.56272E-08   2.92745E+03   2.02700E-03   1.15557E-05   3.25425E-02   2.09512E-08   1.98867E-02   6.47162E-04   2.40935E-07
 2.39350E-09   1.00000E+02   1.40000E+03   3.56466E-08   2.53701E+03   2.44556E-03   1.24131E-05   3.73849E-02   2.53547E-08   2.28459E-02   8.54094E-04   3.35133E-07
 2.51950E-09   1.00000E+02   1.40000E+03   4.87694E-08   2.21407E+03   2.92247E-03   1.32875E-05   4.26432E-02   3.03947E-08   2.60593E-02   1.11125E-03   4.58507E-07
 2.64550E-09   1.00000E+02   1.40000E+03   6.57257E-08   1.94458E+03   3.46212E-03   1.41784E-05   4.83266E-02   3.61241E-08   2.95324E-02   1.42720E-03   6.17923E-07
 2.77150E-09   1.00000E+02   1.40000E+03   8.73660E-08   1.71787E+03   4.06893E-03   1.50850E-05   5.44434E-02   4.25971E-08   3.32704E-02   1.81135E-03   8.21375E-07
 2.89750E-09   1.00000E+02   1.40000E+03   1.14673E-07   1.52571E+03   4.74732E-03   1.60068E-05   6.10014E-02   4.98687E-08   3.72780E-02   2.27401E-03   1.07810E-06
 3.02350E-09   1.00000E+02   1.40000E+03   1.48773E-07   1.36174E+03   5.50172E-03   1.69431E-05   6.80071E-02   5.79951E-08   4.15591E-02   2.82632E-03   1.39870E-06
