Time (s)   V_brick                  E_brick                  E_ESR                    R_switch (½)             E_switch (J)             Radius_switch (m)        I_brick (kA)             Q_brick                  V_out                    P_out                    E_out                    
 0.00000E+00   1.00000E+05   5.60000E+03   0.00000E+00   1.00000E+10   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.55000E-11   1.00000E+05   5.60000E+03   2.69560E-15   1.16962E+06   3.08293E-07   4.58853E-07   8.54612E-05   3.08399E-12   6.83690E-03   5.84290E-04   1.32706E-14
 1.51500E-10   1.00000E+05   5.60000E+03   3.67070E-14   4.05077E+05   1.51770E-06   7.79700E-07   2.46672E-04   1.51858E-11   1.97338E-02   4.86776E-03   1.80711E-13
 2.27500E-10   1.00000E+05   5.60000E+03   2.15393E-13   1.94214E+05   4.34502E-06   1.12605E-06   5.14262E-04   4.34883E-11   4.11410E-02   2.11573E-02   1.06040E-12
 3.03500E-10   1.00000E+05   5.60000E+03   8.43105E-13   1.09553E+05   9.68440E-06   1.49929E-06   9.11195E-04   9.69632E-11   7.28956E-02   6.64221E-02   4.15067E-12
 3.79500E-10   1.00000E+05   5.60000E+03   2.58118E-12   6.83278E+04   1.86007E-05   1.89844E-06   1.46006E-03   1.86312E-10   1.16805E-01   1.70542E-01   1.27073E-11
 4.55500E-10   1.00000E+05   5.60000E+03   6.68525E-12   4.56653E+04   3.23259E-05   2.32222E-06   2.18313E-03   3.23942E-10   1.74650E-01   3.81284E-01   3.29120E-11
 5.31500E-10   1.00000E+05   5.60000E+03   1.53248E-11   3.21096E+04   5.22561E-05   2.76936E-06   3.10236E-03   5.23939E-10   2.48189E-01   7.69971E-01   7.54454E-11
 6.07500E-10   1.00000E+05   5.60000E+03   3.19956E-11   2.34774E+04   7.99475E-05   3.23871E-06   4.23939E-03   8.02047E-10   3.39151E-01   1.43779E+00   1.57517E-10
 6.83500E-10   1.00000E+05   5.60000E+03   6.20337E-11   1.77073E+04   1.17113E-04   3.72923E-06   5.61552E-03   1.17564E-09   4.49242E-01   2.52272E+00   3.05397E-10
 7.59500E-10   1.00000E+05   5.60000E+03   1.13241E-10   1.36981E+04   1.65618E-04   4.24000E-06   7.25169E-03   1.66370E-09   5.80136E-01   4.20697E+00   5.57495E-10
 8.35500E-10   1.00000E+05   5.60000E+03   1.96631E-10   1.08224E+04   2.27476E-04   4.77018E-06   9.16849E-03   2.28679E-09   7.33479E-01   6.72490E+00   9.68028E-10
 9.11500E-10   1.00000E+05   5.60000E+03   3.27295E-10   8.70433E+03   3.04846E-04   5.31898E-06   1.13861E-02   3.06700E-09   9.10889E-01   1.03715E+01   1.61130E-09
 9.87500E-10   1.00000E+05   5.60000E+03   5.25411E-10   7.10873E+03   4.00025E-04   5.88573E-06   1.39243E-02   4.02798E-09   1.11395E+00   1.55110E+01   2.58664E-09
 1.06350E-09   1.00000E+05   5.60000E+03   8.17382E-10   5.88322E+03   5.15445E-04   6.46977E-06   1.68025E-02   5.19482E-09   1.34420E+00   2.25860E+01   4.02404E-09
 1.13950E-09   1.00000E+05   5.60000E+03   1.23711E-09   4.92597E+03   6.53668E-04   7.07051E-06   2.00396E-02   6.59411E-09   1.60317E+00   3.21269E+01   6.09041E-09
 1.21550E-09   1.00000E+05   5.60000E+03   1.82746E-09   4.16710E+03   8.17382E-04   7.68740E-06   2.36541E-02   8.25383E-09   1.89233E+00   4.47615E+01   8.99671E-09
 1.29150E-09   1.00000E+05   5.60000E+03   2.64176E-09   3.55758E+03   1.00939E-03   8.31991E-06   2.76641E-02   1.02034E-08   2.21313E+00   6.12241E+01   1.30056E-08
 1.36750E-09   1.00000E+05   5.60000E+03   3.74563E-09   3.06226E+03   1.23262E-03   8.96758E-06   3.20870E-02   1.24734E-08   2.56696E+00   8.23660E+01   1.84400E-08
 1.44350E-09   1.00000E+05   5.60000E+03   5.21877E-09   2.65549E+03   1.49010E-03   9.62994E-06   3.69400E-02   1.50961E-08   2.95520E+00   1.09165E+02   2.56924E-08
