Time (s)   V_brick                  E_brick                  E_ESR                    R_switch (½)             E_switch (J)             Radius_switch (m)        I_brick (kV)             Q_brick                  V_out                    P_out                    E_out                    
 0.00000E+00   1.00000E+05   3.20000E+03   0.00000E+00   1.00000E+10   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.55000E-11   1.00000E+05   3.20000E+03   2.69560E-15   1.16962E+06   3.08294E-07   4.58853E-07   8.54612E-05   3.08400E-12   8.54612E-22   7.30077E-23   1.65956E-33
 1.51500E-10   1.00000E+05   3.20000E+03   3.67070E-14   4.05077E+05   1.51770E-06   7.79700E-07   2.46672E-04   1.51858E-11   2.46672E-21   6.08444E-22   2.25899E-32
 2.27500E-10   1.00000E+05   3.20000E+03   2.15394E-13   1.94214E+05   4.34502E-06   1.12605E-06   5.14263E-04   4.34883E-11   5.14263E-21   2.64467E-21   1.32551E-31
 3.03500E-10   1.00000E+05   3.20000E+03   8.43106E-13   1.09553E+05   9.68441E-06   1.49929E-06   9.11196E-04   9.69632E-11   9.11196E-21   8.30283E-21   5.18836E-31
 3.79500E-10   1.00000E+05   3.20000E+03   2.58119E-12   6.83278E+04   1.86007E-05   1.89844E-06   1.46006E-03   1.86313E-10   1.46006E-20   2.13178E-20   1.58842E-30
 4.55500E-10   1.00000E+05   3.20000E+03   6.68528E-12   4.56652E+04   3.23260E-05   2.32222E-06   2.18313E-03   3.23943E-10   2.18313E-20   4.76608E-20   4.11402E-30
 5.31500E-10   1.00000E+05   3.20000E+03   1.53249E-11   3.21095E+04   5.22563E-05   2.76936E-06   3.10237E-03   5.23941E-10   3.10237E-20   9.62471E-20   9.43073E-30
 6.07500E-10   1.00000E+05   3.20000E+03   3.19958E-11   2.34773E+04   7.99478E-05   3.23871E-06   4.23941E-03   8.02050E-10   4.23941E-20   1.79726E-19   1.96898E-29
 6.83500E-10   1.00000E+05   3.20000E+03   6.20343E-11   1.77073E+04   1.17114E-04   3.72924E-06   5.61556E-03   1.17565E-09   5.61555E-20   3.15345E-19   3.81750E-29
 7.59500E-10   1.00000E+05   3.20000E+03   1.13243E-10   1.36981E+04   1.65619E-04   4.24001E-06   7.25176E-03   1.66371E-09   7.25176E-20   5.25880E-19   6.96877E-29
 8.35500E-10   1.00000E+05   3.20000E+03   1.96634E-10   1.08224E+04   2.27478E-04   4.77018E-06   9.16859E-03   2.28680E-09   9.16859E-20   8.40631E-19   1.21005E-28
 9.11500E-10   1.00000E+05   3.20000E+03   3.27301E-10   8.70429E+03   3.04850E-04   5.31900E-06   1.13863E-02   3.06702E-09   1.13863E-19   1.29647E-18   2.01416E-28
 9.87500E-10   1.00000E+05   3.20000E+03   5.25424E-10   7.10869E+03   4.00031E-04   5.88575E-06   1.39246E-02   4.02801E-09   1.39246E-19   1.93893E-18   3.23338E-28
 1.06350E-09   1.00000E+05   3.20000E+03   8.17405E-10   5.88318E+03   5.15454E-04   6.46979E-06   1.68029E-02   5.19488E-09   1.68029E-19   2.82336E-18   5.03018E-28
 1.13950E-09   1.00000E+05   3.20000E+03   1.23716E-09   4.92593E+03   6.53683E-04   7.07053E-06   2.00401E-02   6.59420E-09   2.00401E-19   4.01605E-18   7.61327E-28
 1.21550E-09   1.00000E+05   3.20000E+03   1.82753E-09   4.16707E+03   8.17404E-04   7.68743E-06   2.36548E-02   8.25397E-09   2.36548E-19   5.59549E-18   1.12463E-27
 1.29150E-09   1.00000E+05   3.20000E+03   2.64188E-09   3.55755E+03   1.00942E-03   8.31996E-06   2.76650E-02   1.02036E-08   2.76650E-19   7.65350E-18   1.62577E-27
 1.36750E-09   1.00000E+05   3.20000E+03   3.74582E-09   3.06223E+03   1.23267E-03   8.96763E-06   3.20882E-02   1.24737E-08   3.20882E-19   1.02965E-17   2.30512E-27
 1.44350E-09   1.00000E+05   3.20000E+03   5.21908E-09   2.65546E+03   1.49016E-03   9.63001E-06   3.69415E-02   1.50965E-08   3.69415E-19   1.36468E-17   3.21174E-27
 1.51950E-09   1.00000E+05   3.20000E+03   7.15753E-09   2.31824E+03   1.78504E-03   1.03067E-05   4.22416E-02   1.81052E-08   4.22416E-19   1.78435E-17   4.40463E-27
 1.59550E-09   1.00000E+05   3.20000E+03   9.67538E-09   2.03625E+03   2.12055E-03   1.09972E-05   4.80046E-02   2.15345E-08   4.80046E-19   2.30444E-17   5.95408E-27
 1.67150E-09   1.00000E+05   3.20000E+03   1.29075E-08   1.79860E+03   2.49999E-03   1.17012E-05   5.42460E-02   2.54200E-08   5.42460E-19   2.94262E-17   7.94307E-27
 1.74750E-09   1.00000E+05   3.20000E+03   1.70119E-08   1.59688E+03   2.92680E-03   1.24183E-05   6.09809E-02   2.97989E-08   6.09809E-19   3.71868E-17   1.04688E-26
 1.82350E-09   1.00000E+05   3.20000E+03   2.21723E-08   1.42451E+03   3.40446E-03   1.31481E-05   6.82241E-02   3.47090E-08   6.82241E-19   4.65453E-17   1.36445E-26
 1.89950E-09   1.00000E+05   3.20000E+03   2.86010E-08   1.27632E+03   3.93654E-03   1.38904E-05   7.59895E-02   4.01896E-08   7.59895E-19   5.77440E-17   1.76006E-26
 1.97550E-09   1.00000E+05   3.20000E+03   3.65417E-08   1.14821E+03   4.52668E-03   1.46449E-05   8.42907E-02   4.62810E-08   8.42907E-19   7.10492E-17   2.24872E-26
