Time (s)   VBP_D                    IBP_D                    P_BP                     EBP_D                    VSTK_D                   ISTK_D                   P_STKD                   IMITL_D                  E_PHC                    I_UP                      V_PHC                   I_ZFLOSS                 P_CONV                   RLOSS                    ZFLOW                    E_LOAD                   P_LOAD                   V_LOAD                   I_LOAD                    FINDUC                   LME                     LVOLT                     ILOAD                    LKE                     LVEL                      LRADIUS                 P_LOAD                   IMITL_C                  VSTK_C                   ISTK_C                   P_STKC                   EBP_C                    VBP_C                    IBP_C                    IMITL_B                  VSTK_B                   ISTK_B                   P_STKB                   EBP_B                    VBP_B                    IBP_B                    IMITL_A                  VSTK_A                   ISTK_A                   P_STKA                   EBP_A                    VBP_A                    IBP_A                    
 0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.00000E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.00000E-02   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.05000E-10  -3.83118E+01  -3.70620E+02   1.41991E+04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00  -0.00000E+00   1.00000E-04   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.00000E-02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -1.77745E+02   8.01340E+01   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -1.77894E+02   7.98228E+01   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -1.77798E+02   8.00232E+01
 4.15000E-10  -1.33024E+02  -6.34725E+02   8.44337E+04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00  -0.00000E+00   1.00000E-04   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.00000E-02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -3.04334E+02   2.77829E+02   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -3.04739E+02   2.76986E+02   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -3.04478E+02   2.77529E+02
 6.25000E-10  -2.52733E+02  -8.46754E+02   2.14003E+05   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00  -0.00000E+00   1.00000E-04   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.00000E-02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -4.06012E+02   5.27422E+02   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -4.06551E+02   5.26301E+02   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -4.06203E+02   5.27024E+02
 8.35000E-10  -3.76141E+02  -1.05108E+03   3.95353E+05   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00  -0.00000E+00   1.00000E-04   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.00000E-02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -5.04105E+02   7.84485E+02   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -5.04589E+02   7.83477E+02   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -5.04276E+02   7.84128E+02
 1.04500E-09  -4.93086E+02  -1.26886E+03   6.25659E+05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00  -0.00000E+00   1.00000E-04   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.00000E-02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -6.08724E+02   1.02795E+03   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -6.09038E+02   1.02730E+03   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -6.08835E+02   1.02772E+03
 1.25500E-09  -6.02404E+02  -1.50254E+03   9.05136E+05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00  -0.00000E+00   1.00000E-04   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.00000E-02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -7.20957E+02   1.25555E+03   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -7.21116E+02   1.25522E+03   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -7.21013E+02   1.25544E+03
 1.46500E-09  -7.07888E+02  -1.74420E+03   1.23470E+06   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00  -0.00000E+00   1.00000E-04   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.00000E-02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -8.36953E+02   1.47532E+03   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -8.37073E+02   1.47507E+03   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -8.36995E+02   1.47523E+03
 1.67500E-09  -8.14118E+02  -1.98431E+03   1.61547E+06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00  -0.00000E+00   1.00000E-04   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.00000E-02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -9.52127E+02   1.69680E+03   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -9.52334E+02   1.69636E+03   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -9.52201E+02   1.69664E+03
 1.88500E-09  -9.23670E+02  -2.21750E+03   2.04824E+06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00  -0.00000E+00   1.00000E-04   0.00000E+00   0.00000E+00  -0.00000E+00  -0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.00000E-02  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -1.06395E+03   1.92526E+03   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -1.06430E+03   1.92453E+03   0.00000E+00  -0.00000E+00   0.00000E+00  -0.00000E+00   0.00000E+00  -1.06407E+03   1.92500E+03
